pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,829.61
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,836.35
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,843.31
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,846.21
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,840.46
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,835.29
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,828.9
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,830.54
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,837.09
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,844.17
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,847.08
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,841.57
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,836.26
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,830.31
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,831.9
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,838.39
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,844.98
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,848.43
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,843.18
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,837.62
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,831.61
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,833.77
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,839.77
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,847.57
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,850.64
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,844.71
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,839.29
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,832.8
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,835.57
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,841.14
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,849.18
